"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","LeaseContractLength","PurchaseOption","OfferingClass","Product Family","serviceCode","Location","Location Type","Instance Type","Current Generation","Instance Family","vCPU","Storage","Storage Media","usageType","operation","Compute type","ECU","Memory (GiB)","Region Code","serviceName"
"2DFTNRJMYHYXN263","NQ3QZPMQV9","2DFTNRJMYHYXN263.NQ3QZPMQV9.6YS6EN2CT7","Reserved","AmazonOpenSearchService, i4g.16xlarge.search reserved instance applied","2024-09-01","0","Inf","Hrs","0.0000000000","USD","3yr","All Upfront","standard","Amazon OpenSearch Service Instance","AmazonES","US West (Oregon)","AWS Region","i4g.16xlarge.search","Yes","Storage optimized","64","4 x 3,750 Nitro SSD",,"USW2-ESInstance:i4g.16xlarge","ESDomain",,"variable","512","us-west-2","Amazon OpenSearch Service"
"2DFTNRJMYHYXN263","NQ3QZPMQV9","2DFTNRJMYHYXN263.NQ3QZPMQV9.2TG2D8R56U","Reserved","Upfront Fee","2024-09-01",,,"Quantity","99742","USD","3yr","All Upfront","standard","Amazon OpenSearch Service Instance","AmazonES","US West (Oregon)","AWS Region","i4g.16xlarge.search","Yes","Storage optimized","64","4 x 3,750 Nitro SSD",,"USW2-ESInstance:i4g.16xlarge","ESDomain",,"variable","512","us-west-2","Amazon OpenSearch Service"
"2GDRSJ7Q4UKAD7UB","JRTCKXETXF","2GDRSJ7Q4UKAD7UB.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.245 per r3.large.search instance hour (or partial hour) - USW2","2024-10-01","0","Inf","Hrs","0.2450000000","USD",,,,"Amazon OpenSearch Service Instance","AmazonES","US West (Oregon)","AWS Region","r3.large.search","Yes","Memory optimized","2","1 x 32 SSD",,"USW2-ESInstance:r3.large","ESDomain",,"6.5","15","us-west-2","Amazon OpenSearch Service"
"2NFAGSQ2G37DHVT3","JRTCKXETXF","2NFAGSQ2G37DHVT3.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.240 per OCU-hours for IngestionOCU in US West (Oregon)","2024-10-01","0","Inf","OCU-hours","0.2400000000","USD",,,,"Amazon OpenSearch Service Ingestion","AmazonES","US West (Oregon)","AWS Region",,,,,,,"USW2-IngestionOCU","IngestionOCU","Ingestion",,,"us-west-2","Amazon OpenSearch Service"
"2SJF4N3HJ9K474VV","JRTCKXETXF","2SJF4N3HJ9K474VV.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.073 per t2.medium.search instance hour (or partial hour) - USW2","2024-10-01","0","Inf","Hrs","0.0730000000","USD",,,,"Amazon OpenSearch Service Instance","AmazonES","US West (Oregon)","AWS Region","t2.medium.search","Yes","General purpose","2","EBS Only",,"USW2-ESInstance:t2.medium","ESDomain",,"variable","4","us-west-2","Amazon OpenSearch Service"
"36V9Y3WZD3BY7ACA","JRTCKXETXF","36V9Y3WZD3BY7ACA.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.24 per OCU-hours for SearchOCU in US West (Oregon)","2024-10-01","0","Inf","OCU-hours","0.2400000000","USD",,,,"Amazon OpenSearch Service Serverless","AmazonES","US West (Oregon)","AWS Region",,,,,,,"USW2-SearchOCU","SearchOCU","Search and Query",,,"us-west-2","Amazon OpenSearch Service"
"3ECW55NN9AHDHV2X","38NPMPTW36","3ECW55NN9AHDHV2X.38NPMPTW36.6YS6EN2CT7","Reserved","AmazonOpenSearchService, i4g.large.search reserved instance applied","2024-09-01","0","Inf","Hrs","0.0620000000","USD","3yr","Partial Upfront","standard","Amazon OpenSearch Service Instance","AmazonES","US West (Oregon)","AWS Region","i4g.large.search","Yes","Storage optimized","2","1 x 468 Nitro SSD",,"USW2-ESInstance:i4g.large","ESDomain",,"variable","16","us-west-2","Amazon OpenSearch Service"
"3ECW55NN9AHDHV2X","38NPMPTW36","3ECW55NN9AHDHV2X.38NPMPTW36.2TG2D8R56U","Reserved","Upfront Fee","2024-09-01",,,"Quantity","1623","USD","3yr","Partial Upfront","standard","Amazon OpenSearch Service Instance","AmazonES","US West (Oregon)","AWS Region","i4g.large.search","Yes","Storage optimized","2","1 x 468 Nitro SSD",,"USW2-ESInstance:i4g.large","ESDomain",,"variable","16","us-west-2","Amazon OpenSearch Service"
"3ECW55NN9AHDHV2X","4NA7Y494T4","3ECW55NN9AHDHV2X.4NA7Y494T4.6YS6EN2CT7","Reserved","AmazonOpenSearchService, i4g.large.search reserved instance applied","2024-09-01","0","Inf","Hrs","0.1700000000","USD","1yr","No Upfront","standard","Amazon OpenSearch Service Instance","AmazonES","US West (Oregon)","AWS Region","i4g.large.search","Yes","Storage optimized","2","1 x 468 Nitro SSD",,"USW2-ESInstance:i4g.large","ESDomain",,"variable","16","us-west-2","Amazon OpenSearch Service"
"3ECW55NN9AHDHV2X","6QCMYABX3D","3ECW55NN9AHDHV2X.6QCMYABX3D.6YS6EN2CT7","Reserved","AmazonOpenSearchService, i4g.large.search reserved instance applied","2024-09-01","0","Inf","Hrs","0.0000000000","USD","1yr","All Upfront","standard","Amazon OpenSearch Service Instance","AmazonES","US West (Oregon)","AWS Region","i4g.large.search","Yes","Storage optimized","2","1 x 468 Nitro SSD",,"USW2-ESInstance:i4g.large","ESDomain",,"variable","16","us-west-2","Amazon OpenSearch Service"
"3ECW55NN9AHDHV2X","6QCMYABX3D","3ECW55NN9AHDHV2X.6QCMYABX3D.2TG2D8R56U","Reserved","Upfront Fee","2024-09-01",,,"Quantity","1406","USD","1yr","All Upfront","standard","Amazon OpenSearch Service Instance","AmazonES","US West (Oregon)","AWS Region","i4g.large.search","Yes","Storage optimized","2","1 x 468 Nitro SSD",,"USW2-ESInstance:i4g.large","ESDomain",,"variable","16","us-west-2","Amazon OpenSearch Service"
"3ECW55NN9AHDHV2X","BPH4J8HBKS","3ECW55NN9AHDHV2X.BPH4J8HBKS.6YS6EN2CT7","Reserved","AmazonOpenSearchService, i4g.large.search reserved instance applied","2024-09-01","0","Inf","Hrs","0.1280000000","USD","3yr","No Upfront","standard","Amazon OpenSearch Service Instance","AmazonES","US West (Oregon)","AWS Region","i4g.large.search","Yes","Storage optimized","2","1 x 468 Nitro SSD",,"USW2-ESInstance:i4g.large","ESDomain",,"variable","16","us-west-2","Amazon OpenSearch Service"
