id,actionType
Nzk5NjgyNTIzMTkxX2JlZmI2YTkwLTBmZjAtNDNhMy05MTM1LWI5YzBkODFkMTQ1NA==,PurchaseReservedInstances
NDc2NDYzNTYxNzA5XzdmMjYzMTkxLTViOGUtNDkwYS1hZmI3LTgxNGQ3ODBkNDAzNQ==,PurchaseReservedInstances
OTc2NzQ1NDA0OTA3XzYzNWM0N2U1LTQxZTItNGIwZi05M2M1LTMxM2FkZDg1YTcxNw==,PurchaseReservedInstances
NDc2NDYzNTYxNzA5XzNlMGM0N2ZiLTliYzgtNDkzMi05MDM0LWVhNGU5NWFiNGQ4Zg==,PurchaseReservedInstances
OTc2NzQ1NDA0OTA3XzQwYjUxYjE3LTdlZjAtNDQ3Yi04NWVmLWY4ZGE3NTE3MDI5OQ==,PurchaseReservedInstances
NDc2NDYzNTYxNzA5XzNhZGQxOTdlLWVmNWMtNDcxZi1iMzEwLWMzMDQzZGMwOWQ5YQ==,PurchaseReservedInstances
OTc2NzQ1NDA0OTA3X2M4YjlhOTQ1LTUxYWUtNDA2YS1iYzUxLWQ5NjliMjI4NDYyMg==,PurchaseReservedInstances
NDc2NDYzNTYxNzA5XzJkNjAzYzYwLWJjNWQtNDQ5Ny05MWI3LWZhMjlmZGM4NDNhZg==,PurchaseReservedInstances
OTc2NzQ1NDA0OTA3XzEzOGFhMTgzLWJkMmItNDZiNi04ZjE0LTk0YzJlNmMwYzA5Nw==,PurchaseReservedInstances
NDc2NDYzNTYxNzA5XzhiNTVlNGVlLWMyZjAtNDVhMC05NjFjLTdkNDczNTk5YjVjMg==,PurchaseReservedInstances
OTc2NzQ1NDA0OTA3XzFmNWZmY2I1LTA2MzctNDgzMi1iZTA5LWVkZmMyMGM4ZThjNg==,PurchaseReservedInstances
NDc2NDYzNTYxNzA5XzM4MmZhOWYzLWU3NzktNGY5My1hOTU1LWM1YTUwZmMyMTFkMw==,PurchaseReservedInstances
OTc2NzQ1NDA0OTA3X2Q1MDM2OTU1LTVjMWYtNGFmZC05MDg5LTJiODA5MTRmYjMzNQ==,PurchaseReservedInstances
NDc2NDYzNTYxNzA5X2VjODM1ODE0LTVmNDItNDkxOC1iZTE5LWIxODlkZjVhZmRjYg==,PurchaseReservedInstances
OTc2NzQ1NDA0OTA3XzZlNzFkMTRlLWVlMTUtNDNhMy1hNzM3LTFmZmI1ZTc4ZGI2NQ==,MigrateToGraviton
Nzk5NjgyNTIzMTkxX2YxOWM4OTQ0LWVjYmUtNGI2ZC04MjcwLTJmMTI4ZDVmNTEwYQ==,MigrateToGraviton
Nzk5NjgyNTIzMTkxX2JlMWIyNGNmLTNlMTgtNGZiMy04OTVhLWQ5YTljMTAyZmNjMA==,MigrateToGraviton
Nzk5NjgyNTIzMTkxXzAxOTViOWZlLWE1MWItNGQzYy1hM2VhLTgxOTYyMWNlMzA4Yg==,PurchaseReservedInstances
NDc2NDYzNTYxNzA5XzE4YTUzZTc0LTQxYzAtNDcxMi04ZGY3LTU0NTM3ZjIzN2Q1OA==,PurchaseReservedInstances
Nzk5NjgyNTIzMTkxXzA0ZDY2YTEyLTRlNGEtNDhjMy1iN2M1LTI0MTM5YjY0MTcwZA==,PurchaseReservedInstances
NDc2NDYzNTYxNzA5X2ZjMjFkMGMwLTZjZjItNGIyNy05M2YzLTczNTQ2NzQzMTZiNQ==,PurchaseReservedInstances
OTc2NzQ1NDA0OTA3XzcyMDhiNGJiLWQwOTQtNGI0OC1hNDYxLTQxNmFhOGIyOTgxNA==,Upgrade
Nzk5NjgyNTIzMTkxXzYzZmQ3NWFiLTdjNTYtNDBiOC1hNWFiLWZlYzA1ZTA1ZjgwYQ==,PurchaseReservedInstances
NDc2NDYzNTYxNzA5X2I5Mzc0OGRlLTFmNTMtNDMwZC04NTM2LTVmMTQ5OWQwNmRkNQ==,PurchaseReservedInstances
Nzk5NjgyNTIzMTkxXzQ1MTI5Y2IxLWI5OWYtNDA4Yi05ZjNmLTQ5ZjgzY2ZlZjI5NA==,PurchaseReservedInstances
NDc2NDYzNTYxNzA5X2ZlMzliNWU0LWMxM2UtNDAyNy05ZjZmLTI4OTA2OWNjZWM4ZA==,PurchaseReservedInstances
Nzk5NjgyNTIzMTkxXzM0ZjZhYmJjLWQyNmItNGMzNS1hMDVhLWYyNjAwNDU0Y2MwOQ==,PurchaseReservedInstances
NDc2NDYzNTYxNzA5XzkwMzU4MjlkLTEyMzgtNDRiZS1iMmY0LWJiNjc2OTE0ZjNkMA==,PurchaseReservedInstances
Nzk5NjgyNTIzMTkxXzNiZjRjYjljLTllYTAtNDc5Ni1iYTc4LWNmMGIwODAwOTc3Nw==,MigrateToGraviton
OTc2NzQ1NDA0OTA3X2U2NzUzMDQzLTE4ZWYtNGZiZS04NzNlLTc2MzY5YWYyMjY2Mw==,Upgrade
Nzk5NjgyNTIzMTkxXzg5M2MzNjA1LWE5YTgtNDUyNS1iODg4LTU5NjI1YTJmOTI3Nw==,Upgrade
Nzk5NjgyNTIzMTkxXzJmNzJhZWNmLTk0ZmQtNDA0OS04MjI2LTI4NGJiNmM4ODg2Nw==,Upgrade
