"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","LeaseContractLength","PurchaseOption","OfferingClass","Product Family","serviceCode","Location","Location Type","Instance Type","Current Generation","Instance Family","vCPU","Memory","Network Performance","Cache Engine","Storage Media","Transfer Type","usageType","operation","Normalization Size Factor","Region Code","serviceName","SSD"
"2JVA6SPVCS7ZCZGJ","6QCMYABX3D","2JVA6SPVCS7ZCZGJ.6QCMYABX3D.6YS6EN2CT7","Reserved","ElastiCache, cache.m7g.2xlarge reserved instance applied","2023-07-01","0","Inf","Hrs","0.0000000000","USD","1yr","All Upfront","standard","Cache Instance","AmazonElastiCache","US West (Oregon)","AWS Region","cache.m7g.2xlarge","Yes","Standard","8","26.04 GiB","Up to 15 Gigabit","Memcached",,,"USW2-NodeUsage:cache.m7g.2xlarge","CreateCacheCluster:0001","16","us-west-2","Amazon ElastiCache",
"2JVA6SPVCS7ZCZGJ","6QCMYABX3D","2JVA6SPVCS7ZCZGJ.6QCMYABX3D.2TG2D8R56U","Reserved","Upfront Fee","2023-07-01",,,"Quantity","3526.426","USD","1yr","All Upfront","standard","Cache Instance","AmazonElastiCache","US West (Oregon)","AWS Region","cache.m7g.2xlarge","Yes","Standard","8","26.04 GiB","Up to 15 Gigabit","Memcached",,,"USW2-NodeUsage:cache.m7g.2xlarge","CreateCacheCluster:0001","16","us-west-2","Amazon ElastiCache",
"2JVA6SPVCS7ZCZGJ","BPH4J8HBKS","2JVA6SPVCS7ZCZGJ.BPH4J8HBKS.6YS6EN2CT7","Reserved","ElastiCache, cache.m7g.2xlarge reserved instance applied","2023-07-01","0","Inf","Hrs","0.3270000000","USD","3yr","No Upfront","standard","Cache Instance","AmazonElastiCache","US West (Oregon)","AWS Region","cache.m7g.2xlarge","Yes","Standard","8","26.04 GiB","Up to 15 Gigabit","Memcached",,,"USW2-NodeUsage:cache.m7g.2xlarge","CreateCacheCluster:0001","16","us-west-2","Amazon ElastiCache",
"2JVA6SPVCS7ZCZGJ","HU7G6KETJZ","2JVA6SPVCS7ZCZGJ.HU7G6KETJZ.6YS6EN2CT7","Reserved","ElastiCache, cache.m7g.2xlarge reserved instance applied","2023-07-01","0","Inf","Hrs","0.2040000000","USD","1yr","Partial Upfront","standard","Cache Instance","AmazonElastiCache","US West (Oregon)","AWS Region","cache.m7g.2xlarge","Yes","Standard","8","26.04 GiB","Up to 15 Gigabit","Memcached",,,"USW2-NodeUsage:cache.m7g.2xlarge","CreateCacheCluster:0001","16","us-west-2","Amazon ElastiCache",
"2JVA6SPVCS7ZCZGJ","HU7G6KETJZ","2JVA6SPVCS7ZCZGJ.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2023-07-01",,,"Quantity","1790.763","USD","1yr","Partial Upfront","standard","Cache Instance","AmazonElastiCache","US West (Oregon)","AWS Region","cache.m7g.2xlarge","Yes","Standard","8","26.04 GiB","Up to 15 Gigabit","Memcached",,,"USW2-NodeUsage:cache.m7g.2xlarge","CreateCacheCluster:0001","16","us-west-2","Amazon ElastiCache",
"2JVA6SPVCS7ZCZGJ","JRTCKXETXF","2JVA6SPVCS7ZCZGJ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.629 per Gen Purpose m7g.2xlarge node hour running Memcached","2024-10-01","0","Inf","Hrs","0.6290000000","USD",,,,"Cache Instance","AmazonElastiCache","US West (Oregon)","AWS Region","cache.m7g.2xlarge","Yes","Standard","8","26.04 GiB","Up to 15 Gigabit","Memcached",,,"USW2-NodeUsage:cache.m7g.2xlarge","CreateCacheCluster:0001","16","us-west-2","Amazon ElastiCache",
"2JVA6SPVCS7ZCZGJ","NQ3QZPMQV9","2JVA6SPVCS7ZCZGJ.NQ3QZPMQV9.6YS6EN2CT7","Reserved","ElastiCache, cache.m7g.2xlarge reserved instance applied","2023-07-01","0","Inf","Hrs","0.0000000000","USD","3yr","All Upfront","standard","Cache Instance","AmazonElastiCache","US West (Oregon)","AWS Region","cache.m7g.2xlarge","Yes","Standard","8","26.04 GiB","Up to 15 Gigabit","Memcached",,,"USW2-NodeUsage:cache.m7g.2xlarge","CreateCacheCluster:0001","16","us-west-2","Amazon ElastiCache",
"2JVA6SPVCS7ZCZGJ","NQ3QZPMQV9","2JVA6SPVCS7ZCZGJ.NQ3QZPMQV9.2TG2D8R56U","Reserved","Upfront Fee","2023-07-01",,,"Quantity","7438.554","USD","3yr","All Upfront","standard","Cache Instance","AmazonElastiCache","US West (Oregon)","AWS Region","cache.m7g.2xlarge","Yes","Standard","8","26.04 GiB","Up to 15 Gigabit","Memcached",,,"USW2-NodeUsage:cache.m7g.2xlarge","CreateCacheCluster:0001","16","us-west-2","Amazon ElastiCache",
"2RXDMQ8UXF4CNFAG","38NPMPTW36","2RXDMQ8UXF4CNFAG.38NPMPTW36.6YS6EN2CT7","Reserved","ElastiCache, cache.m7g.large reserved instance applied","2023-07-01","0","Inf","Hrs","0.0380000000","USD","3yr","Partial Upfront","standard","Cache Instance","AmazonElastiCache","US West (Oregon)","AWS Region","cache.m7g.large","Yes","Standard","2","6.38 GiB","Up to 12.5 Gigabit","Memcached",,,"USW2-NodeUsage:cache.m7g.large","CreateCacheCluster:0001","4","us-west-2","Amazon ElastiCache",
"2RXDMQ8UXF4CNFAG","38NPMPTW36","2RXDMQ8UXF4CNFAG.38NPMPTW36.2TG2D8R56U","Reserved","Upfront Fee","2023-07-01",,,"Quantity","996.538","USD","3yr","Partial Upfront","standard","Cache Instance","AmazonElastiCache","US West (Oregon)","AWS Region","cache.m7g.large","Yes","Standard","2","6.38 GiB","Up to 12.5 Gigabit","Memcached",,,"USW2-NodeUsage:cache.m7g.large","CreateCacheCluster:0001","4","us-west-2","Amazon ElastiCache",
"2RXDMQ8UXF4CNFAG","4NA7Y494T4","2RXDMQ8UXF4CNFAG.4NA7Y494T4.6YS6EN2CT7","Reserved","ElastiCache, cache.m7g.large reserved instance applied","2023-07-01","0","Inf","Hrs","0.1070000000","USD","1yr","No Upfront","standard","Cache Instance","AmazonElastiCache","US West (Oregon)","AWS Region","cache.m7g.large","Yes","Standard","2","6.38 GiB","Up to 12.5 Gigabit","Memcached",,,"USW2-NodeUsage:cache.m7g.large","CreateCacheCluster:0001","4","us-west-2","Amazon ElastiCache",
"2RXDMQ8UXF4CNFAG","6QCMYABX3D","2RXDMQ8UXF4CNFAG.6QCMYABX3D.6YS6EN2CT7","Reserved","ElastiCache, cache.m7g.large reserved instance applied","2023-07-01","0","Inf","Hrs","0.0000000000","USD","1yr","All Upfront","standard","Cache Instance","AmazonElastiCache","US West (Oregon)","AWS Region","cache.m7g.large","Yes","Standard","2","6.38 GiB","Up to 12.5 Gigabit","Memcached",,,"USW2-NodeUsage:cache.m7g.large","CreateCacheCluster:0001","4","us-west-2","Amazon ElastiCache",
"2RXDMQ8UXF4CNFAG","6QCMYABX3D","2RXDMQ8UXF4CNFAG.6QCMYABX3D.2TG2D8R56U","Reserved","Upfront Fee","2023-07-01",,,"Quantity","885.811","USD","1yr","All Upfront","standard","Cache Instance","AmazonElastiCache","US West (Oregon)","AWS Region","cache.m7g.large","Yes","Standard","2","6.38 GiB","Up to 12.5 Gigabit","Memcached",,,"USW2-NodeUsage:cache.m7g.large","CreateCacheCluster:0001","4","us-west-2","Amazon ElastiCache",
"2RXDMQ8UXF4CNFAG","BPH4J8HBKS","2RXDMQ8UXF4CNFAG.BPH4J8HBKS.6YS6EN2CT7","Reserved","ElastiCache, cache.m7g.large reserved instance applied","2023-07-01","0","Inf","Hrs","0.0820000000","USD","3yr","No Upfront","standard","Cache Instance","AmazonElastiCache","US West (Oregon)","AWS Region","cache.m7g.large","Yes","Standard","2","6.38 GiB","Up to 12.5 Gigabit","Memcached",,,"USW2-NodeUsage:cache.m7g.large","CreateCacheCluster:0001","4","us-west-2","Amazon ElastiCache",
"2RXDMQ8UXF4CNFAG","HU7G6KETJZ","2RXDMQ8UXF4CNFAG.HU7G6KETJZ.6YS6EN2CT7","Reserved","ElastiCache, cache.m7g.large reserved instance applied","2023-07-01","0","Inf","Hrs","0.0510000000","USD","1yr","Partial Upfront","standard","Cache Instance","AmazonElastiCache","US West (Oregon)","AWS Region","cache.m7g.large","Yes","Standard","2","6.38 GiB","Up to 12.5 Gigabit","Memcached",,,"USW2-NodeUsage:cache.m7g.large","CreateCacheCluster:0001","4","us-west-2","Amazon ElastiCache",
"2RXDMQ8UXF4CNFAG","HU7G6KETJZ","2RXDMQ8UXF4CNFAG.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2023-07-01",,,"Quantity","449.826","USD","1yr","Partial Upfront","standard","Cache Instance","AmazonElastiCache","US West (Oregon)","AWS Region","cache.m7g.large","Yes","Standard","2","6.38 GiB","Up to 12.5 Gigabit","Memcached",,,"USW2-NodeUsage:cache.m7g.large","CreateCacheCluster:0001","4","us-west-2","Amazon ElastiCache",
"2RXDMQ8UXF4CNFAG","JRTCKXETXF","2RXDMQ8UXF4CNFAG.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.158 per Gen Purpose m7g.large node hour running Memcached","2024-10-01","0","Inf","Hrs","0.1580000000","USD",,,,"Cache Instance","AmazonElastiCache","US West (Oregon)","AWS Region","cache.m7g.large","Yes","Standard","2","6.38 GiB","Up to 12.5 Gigabit","Memcached",,,"USW2-NodeUsage:cache.m7g.large","CreateCacheCluster:0001","4","us-west-2","Amazon ElastiCache",
"2RXDMQ8UXF4CNFAG","NQ3QZPMQV9","2RXDMQ8UXF4CNFAG.NQ3QZPMQV9.6YS6EN2CT7","Reserved","ElastiCache, cache.m7g.large reserved instance applied","2023-07-01","0","Inf","Hrs","0.0000000000","USD","3yr","All Upfront","standard","Cache Instance","AmazonElastiCache","US West (Oregon)","AWS Region","cache.m7g.large","Yes","Standard","2","6.38 GiB","Up to 12.5 Gigabit","Memcached",,,"USW2-NodeUsage:cache.m7g.large","CreateCacheCluster:0001","4","us-west-2","Amazon ElastiCache",
